stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
StopPoint:MELI1,"Méliès",,47.18167753,-1.55630487,,,0,StopArea:MELI,1
StopPoint:MELI2,"Méliès",,47.18159213,-1.55616656,,,0,StopArea:MELI,1
StopPoint:META1,"Métairie",,47.21395599,-1.69930369,,,0,StopArea:META,1
StopPoint:META2,"Métairie",,47.21380863,-1.69836721,,,0,StopArea:META,1
StopPoint:MGAL1,"Marie Galante",,47.26417032,-1.45104526,,,0,StopArea:MGAL,2
StopPoint:MGAL2,"Marie Galante",,47.26408914,-1.45077491,,,0,StopArea:MGAL,2
StopPoint:MGCH1,"Monge-Chauvinière",,47.25260766,-1.56821586,,,0,StopArea:MGCH,1
StopPoint:MGCH2,"Monge-Chauvinière",,47.25283697,-1.56942314,,,0,StopArea:MGCH,1
StopPoint:MGDR1,"Mongendrière",,47.29261560,-1.55432805,,,0,StopArea:MGDR,1
StopPoint:MGDR2,"Mongendrière",,47.29233716,-1.55457252,,,0,StopArea:MGDR,1
StopPoint:MGEL1,"Margelle",,47.27271181,-1.59416606,,,0,StopArea:MGEL,2
StopPoint:MGI58,"Mangin",,47.20160130,-1.54506752,,,0,StopArea:MGIN,2
StopPoint:MGI59,"Mangin",,47.20178543,-1.54494872,,,0,StopArea:MGIN,2
StopPoint:MGIN1,"Mangin",,47.20190200,-1.54515144,,,0,StopArea:MGIN,1
StopPoint:MGIN2,"Mangin",,47.20156910,-1.54498061,,,0,StopArea:MGIN,1
StopPoint:MGIN3,"Mangin",,47.20156030,-1.54361087,,,0,StopArea:MGIN,1
StopPoint:MGIN4,"Mangin",,47.20173999,-1.54362390,,,0,StopArea:MGIN,1
StopPoint:MGIN5,"Mangin",,47.20103112,-1.54595122,,,0,StopArea:MGIN,1
StopPoint:MGIN6,"Mangin",,47.20077491,-1.54553618,,,0,StopArea:MGIN,1
StopPoint:MGLI1,"Magnoliers",,47.22620349,-1.60568888,,,0,StopArea:MGLI,2
StopPoint:MGLI2,"Magnoliers",,47.22667526,-1.60506255,,,0,StopArea:MGLI,2
StopPoint:MGNO1,"Mignonnerie",,47.24366163,-1.48305182,,,0,StopArea:MGNO,2
StopPoint:MGNO2,"Mignonnerie",,47.24262277,-1.48178738,,,0,StopArea:MGNO,1
StopPoint:MGUA1,"Mainguais",,47.28266468,-1.48557518,,,0,StopArea:MGUA,1
StopPoint:MGUA2,"Mainguais",,47.28177057,-1.48537888,,,0,StopArea:MGUA,1
StopPoint:MHAT1,"Marcel Hatet",,47.22234888,-1.53070863,,,0,StopArea:MHAT,2
StopPoint:MHAT2,"Marcel Hatet",,47.22188637,-1.53107180,,,0,StopArea:MHAT,2
StopPoint:MHDI1,"Mahaudières",,47.18892461,-1.56039923,,,0,StopArea:MHDI,2
StopPoint:MHDI2,"Mahaudières",,47.18890678,-1.56092642,,,0,StopArea:MHDI,2
StopPoint:MHUI1,"Moulin à l'Huile",,47.17776199,-1.56288910,,,0,StopArea:MHUI,2
StopPoint:MHUI2,"Moulin à l'Huile",,47.17695783,-1.56269844,,,0,StopArea:MHUI,1
StopPoint:MHUI3,"Moulin à l'Huile",,47.17724522,-1.56219100,,,0,StopArea:MHUI,1
StopPoint:MHUI4,"Moulin à l'Huile",,47.17661629,-1.56214520,,,0,StopArea:MHUI,2
StopPoint:MIAI1,"Minais",,47.25742494,-1.46445709,,,0,StopArea:MIAI,1
StopPoint:MIAI2,"Minais",,47.25709013,-1.46641753,,,0,StopArea:MIAI,1
StopPoint:MIC58,"Michelet",,47.23461839,-1.55685252,,,0,StopArea:MICH,2
StopPoint:MIC59,"Michelet",,47.23526067,-1.55650257,,,0,StopArea:MICH,2
StopPoint:MICH1,"Michelet",,47.23532106,-1.55655457,,,0,StopArea:MICH,1
StopPoint:MICH2,"Michelet",,47.23497854,-1.55658915,,,0,StopArea:MICH,1
StopPoint:MICH3,"Michelet",,47.23451518,-1.55724171,,,0,StopArea:MICH,1
StopPoint:MICH4,"Michelet",,47.23461394,-1.55698443,,,0,StopArea:MICH,1
StopPoint:MIMO1,"Mimosas",,47.24123544,-1.58748790,,,0,StopArea:MIMO,1
StopPoint:MIMO2,"Mimosas",,47.24132080,-1.58762642,,,0,StopArea:MIMO,1
StopPoint:MIND1,"Mairie d'Indre",,47.20071585,-1.66830435,,,0,StopArea:MIND,1
StopPoint:MIND2,"Mairie d'Indre",,47.20041883,-1.66907509,,,0,StopArea:MIND,1
StopPoint:MIND3,"Mairie d'Indre",,47.20125488,-1.66834470,,,0,StopArea:MIND,1
StopPoint:MITR1,"Mitrie",,47.22881508,-1.52588742,,,0,StopArea:MITR,1
StopPoint:MITR2,"Mitrie",,47.22825389,-1.52650798,,,0,StopArea:MITR,1
StopPoint:MITR3,"Mitrie",,47.22775017,-1.52541388,,,0,StopArea:MITR,1
StopPoint:MITR4,"Mitrie",,47.22887398,-1.52681720,,,0,StopArea:MITR,1
StopPoint:MKSU1,"Malakoff",,47.21609496,-1.52113569,,,0,StopArea:MKSU,1
